Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
0;1137;-252;-416;84;-127;-97
1078;-112;-1260;37;527;-99;-82
2089;-1058;-69;443;99;-80;-66
3078;-130;1411;114;-526;-69;-82
4079;1184;770;-436;-343;-73;-36
5078;746;-970;-325;343;-41;-21
6079;-747;-970;258;405;-24;-51
7080;-867;755;358;-251;-45;-51
8075;570;1381;-183;-541;-51;-36
9075;1211;-115;-471;8;-33;9
10076;6;-1290;-29;527;1;-5
11076;-1077;-237;434;130;-2;-21
12092;-283;1289;149;-465;-23;-51
13076;1058;755;-380;-312;-48;-51
14077;719;-970;-293;343;-55;-66
15076;-753;-1061;265;435;-69;-97
16078;-950;617;384;-205;-93;-97
17078;445;1335;-142;-526;-93;-51
18079;1158;-84;-456;-22;-50;9
19079;23;-1321;-53;511;1;-5
20079;-1107;-374;423;191;-3;-36
21080;-402;1197;196;-434;-38;-82
22079;968;785;-346;-327;-76;-66
23090;734;-939;-300;343;-66;-21
24078;-734;-1183;271;527;-25;-5
25079;-1055;449;463;-114;-2;9
26078;292;1304;-52;-495;6;-5
27079;1119;7;-419;-22;1;24
28079;96;-1305;-51;527;19;24
29079;-1085;-466;438;237;28;39
30078;-481;1121;234;-419;36;24
31078;901;861;-332;-373;29;39
32077;791;-847;-341;282;42;85
33078;-648;-1199;206;450;79;85
34089;-1058;388;387;-190;86;70
35078;238;1304;-131;-587;71;55
36079;1112;52;-507;-98;60;85
37079;129;-1336;-126;481;78;70
38079;-1115;-603;394;237;68;24
39078;-601;1029;232;-404;26;-5
40078;807;861;-320;-388;0;24
41077;779;-847;-352;252;23;70
42078;-655;-1305;182;466;63;55
43077;-1158;205;398;-144;56;24
44089;69;1197;-91;-572;28;24
45078;996;7;-489;-114;28;70
46078;77;-1397;-133;511;63;70
47079;-1177;-725;420;298;69;39
48079;-713;923;285;-388;40;9
49078;704;831;-303;-434;9;-5
50079;740;-863;-390;221;-4;9
51078;-678;-1397;151;481;3;-5
52078;-1239;98;413;-83;-4;-21
53077;-28;1182;-31;-495;-21;-36
54078;973;52;-417;-83;-31;-5
55090;110;-1428;-100;496;-9;9
56078;-1201;-832;408;282;8;9
57079;-807;861;262;-434;8;-5
58078;646;892;-345;-480;-5;-21
59078;788;-786;-436;191;-18;-5
60077;-607;-1412;120;466;-9;-5
61078;-1245;37;389;-159;-5;-5
62077;-82;1167;-110;-663;-11;-51
63077;951;68;-578;-266;-45;-51
64076;121;-1428;-276;405;-56;-66
65076;-1202;-878;310;252;-67;-82
66092;-845;831;237;-404;-82;-97
67076;618;923;-324;-495;-96;-97
68076;812;-741;-448;114;-90;-36
69076;-565;-1412;54;420;-45;-36
70077;-1239;22;348;-98;-32;-36
71076;-90;1213;-57;-556;-39;-66
72078;997;190;-472;-175;-56;-21
73077;228;-1367;-178;496;-23;24
74078;-1133;-863;400;343;18;9
75078;-819;907;324;-343;9;-36
76091;690;1060;-257;-419;-32;-51
77075;940;-634;-368;252;-44;9
78076;-465;-1428;191;618;0;9
79075;-1244;-38;542;99;11;-5
80076;-143;1228;137;-419;-4;-21
81076;1005;266;-327;-52;-18;-5
82077;290;-1367;-60;603;-7;9
83076;-1131;-970;514;496;6;-5
84077;-915;800;468;-205;-8;-51
85077;585;1029;-123;-343;-49;-82
86088;894;-695;-291;267;-76;-51
87078;-522;-1534;211;634;-56;-36
88077;-1339;-99;549;84;-36;-36
89076;-198;1289;120;-480;-36;-51
90076;1055;358;-391;-175;-43;-5
91075;376;-1351;-178;466;-9;24
92075;-1113;-1046;374;359;24;39
93080;-981;739;325;-373;34;-5
94075;525;1045;-294;-572;0;-21
95079;898;-679;-511;53;-17;9
96092;-514;-1611;0;481;3;9
97076;-1411;-252;392;-37;11;9
98076;-338;1197;-1;-602;9;9
99075;963;373;-507;-266;17;70
100075;377;-1351;-260;481;65;100
101080;-1113;-1122;386;450;98;85
102075;-1042;694;412;-281;90;85
103079;479;1075;-194;-465;88;116
104080;923;-618;-400;206;117;162
105079;-462;-1626;149;664;157;162
106075;-1415;-283;577;176;159;116
107091;-363;1228;206;-419;115;55
108080;982;403;-323;-129;58;39
109075;400;-1412;-122;588;37;39
110079;-1164;-1214;498;588;30;-21
111080;-1125;678;541;-159;-22;-97
112079;466;1182;-74;-388;-94;-128
113079;1013;-542;-318;282;-123;-82
114078;-386;-1657;222;740;-85;-36
115079;-1429;-298;645;191;-40;-36
116078;-374;1320;218;-495;-38;-82
117145;1068;571;-396;-251;-71;-51
118076;552;-1336;-236;527;-51;9
119075;-1085;-1260;422;511;5;39
120076;-1157;648;465;-281;39;39
121080;438;1258;-202;-602;42;39
122075;1078;-435;-527;23;41;55
123080;-286;-1626;-28;542;50;39
124080;-1392;-328;442;53;47;70
125079;-393;1350;77;-617;65;70
126080;1093;663;-518;-388;76;100
127090;634;-1275;-368;405;96;100
128079;-1025;-1275;309;481;94;39
129079;-1153;709;424;-297;42;-5
130078;501;1457;-211;-602;-5;-21
131078;1261;-237;-520;84;-18;9
132077;-96;-1565;30;649;3;9
133078;-1322;-359;550;191;7;-21
134078;-412;1381;210;-510;-22;-66
135079;1115;755;-404;-281;-64;-82
136078;715;-1229;-257;557;-83;-82
137150;-977;-1305;456;649;-85;-97
138076;-1176;663;590;-144;-97;-112
139076;462;1487;-65;-526;-109;-97
140077;1281;-191;-437;130;-92;-36
141076;-57;-1596;83;756;-42;-21
142078;-1338;-374;646;298;-17;-5
143077;-416;1503;309;-495;-8;-21
144078;1230;968;-391;-388;-16;-5
145078;918;-1061;-356;420;-5;24
146079;-811;-1260;321;557;16;-5
147079;-1112;739;485;-266;-1;-21
148080;535;1640;-190;-724;-18;-5
149091;1419;-69;-634;-129;-1;55
150075;58;-1596;-170;511;47;55
151077;-1329;-435;401;99;51;-5
152076;-469;1503;108;-663;-8;-97
153076;1224;1029;-552;-495;-88;-97
154080;962;-1092;-459;389;-99;-66
155080;-838;-1397;291;588;-72;-66
156079;-1233;648;514;-220;-60;-36
157080;449;1701;-144;-694;-40;-36
158080;1684;1701;-678;-694;-34;-36
159080;969;22;-427;-68;-13;9
160097;-837;-1626;286;618;10;9
161090;-1200;-512;479;237;-18;-51
162079;459;1518;-154;-587;-61;-66
163079;1436;1121;-593;-510;-54;-36
164078;101;-1092;-106;374;-5;24
165079;-1400;-1534;542;649;35;39
166078;-633;510;296;-159;50;55
167079;1162;1732;-431;-678;48;39
168078;1075;144;-428;-68;69;100
169079;-760;-1687;314;710;102;100
170078;-1363;-771;603;389;73;39
171078;251;1396;-10;-465;0;-36
172077;1484;1350;-499;-449;-41;-36
173089;355;-847;-56;420;5;55
174077;-1314;-1641;622;771;58;55
175078;-841;220;435;-7;43;24
176077;1002;1747;-334;-648;-14;-51
177078;1273;526;-461;-159;-33;-5
178077;-399;-1397;243;679;22;55
179077;-1272;-908;637;496;51;39
180076;43;1152;88;-388;19;-5
181076;1376;1426;-523;-587;0;9
182075;588;-466;-246;191;52;100
183075;-984;-1412;442;664;111;116
184092;-755;144;396;23;105;85
185075;924;1701;-316;-663;70;55
186076;1336;724;-555;-343;75;100
187075;-191;-1199;30;450;131;162
188075;-1190;-970;468;405;150;131
189080;-63;1014;37;-404;102;70
190080;1346;1533;-560;-663;52;39
191079;753;-252;-359;38;73;116
192079;-862;-1412;329;603;132;146
193079;-901;-145;410;114;128;100
194079;638;1457;-209;-556;70;39
195089;1232;785;-479;-312;35;39
196078;-50;-1000;51;466;52;70
197079;-1080;-985;524;511;64;55
198078;-171;816;147;-297;41;24
199079;1192;1457;-517;-694;8;-5
200079;793;-84;-454;-114;14;39
201079;-681;-1244;167;450;47;55
202079;-821;-176;298;53;72;85
203075;563;1350;-281;-648;94;100
204075;1182;816;-635;-541;87;70
205166;11;-908;-220;160;39;9
206075;-1026;-985;264;313;-23;-51
207076;-216;724;9;-373;-55;-51
208077;1131;1442;-570;-739;-38;-21
209077;822;-8;-524;-220;-4;9
210078;-621;-1214;74;374;-18;-51
211078;-803;-176;257;53;-75;-97
212079;620;1472;-278;-648;-108;-112
213078;1374;1075;-655;-587;-99;-82
214079;250;-710;-260;130;-74;-66
215080;-929;-1000;254;328;-65;-66
216089;-279;632;34;-343;-66;-66
217079;1119;1533;-575;-785;-74;-82
218075;984;220;-595;-312;-67;-51
219079;-462;-1153;-6;313;-51;-51
220079;-869;-374;218;38;-58;-66
221077;391;1243;-298;-678;-82;-97
222078;1224;1029;-714;-678;-99;-97
223077;240;-695;-377;-7;-68;-36
224077;-972;-1122;150;267;-26;-21
225076;-433;449;11;-327;-18;-21
226076;988;1472;-554;-770;-28;-36
227093;970;251;-599;-343;-29;-21
228076;-476;-1229;-1;359;-28;-36
229076;-1021;-603;339;237;-58;-82
230075;176;1060;-54;-404;-99;-112
231075;1142;1060;-461;-465;-115;-112
232080;309;-603;-185;160;-98;-82
233075;-952;-1199;321;450;-73;-66
234079;-565;266;208;-114;-50;-36
235079;854;1411;-376;-633;-34;-36
236079;998;373;-508;-297;-12;9
237079;-373;-1168;16;359;25;39
238092;-1022;-679;342;252;34;24
239076;107;1014;-62;-434;10;-5
240076;1159;1152;-537;-587;-7;-5
241075;429;-466;-342;-22;30;70
242076;-875;-1199;163;328;72;70
243075;-628;144;123;-159;65;55
244075;745;1335;-402;-648;47;39
245080;964;388;-526;-327;46;55
246080;-360;-1168;-21;313;55;55
247075;-1079;-802;302;221;48;39
248090;-19;892;-78;-434;31;24
249079;1099;1167;-513;-541;16;9
250079;464;-420;-264;84;30;55
251078;-875;-1260;311;511;56;55
252078;-714;37;341;84;41;24
253077;692;1350;-160;-419;1;-21
254077;1034;510;-311;-129;-31;-36
255076;-282;-1153;190;542;-31;-21
256077;-1145;-954;576;542;-13;-5
257087;-174;755;246;-114;-12;-21
258091;1038;1197;-233;-312;-36;-51
259080;523;-344;-75;237;-38;-21
260080;-851;-1305;450;649;-13;-5
261079;-822;-130;460;191;-11;-21
262080;553;1258;-100;-404;-28;-36
263079;1008;556;-337;-190;-30;-21
264079;-214;-1076;108;450;-21;-21
265079;-1107;-970;488;466;-28;-36
266080;-206;709;154;-220;-29;-21
267080;1018;1213;-370;-480;-21;-21
268091;547;-313;-239;84;-13;-5
269080;-870;-1382;310;527;-5;-5
270075;-954;-313;362;114;-5;-5
271075;400;1152;-158;-449;-13;-21
272076;982;617;-380;-236;-6;9
273076;-151;-1031;85;450;32;55
274077;-1131;-1076;520;527;50;39
275076;-326;587;241;-114;18;-5
276077;964;1243;-260;-373;-23;-36
277078;649;-145;-138;176;-39;-36
278088;-706;-1244;431;679;-44;-51
279077;-827;-206;538;313;-52;-51
280078;511;1274;28;-281;-52;-51
281078;1118;770;-226;-98;-36;-21
282079;-20;-924;250;649;-20;-21
283079;-1054;-1031;741;771;-35;-51
284079;-299;602;475;99;-67;-82
285077;991;1289;-83;-236;-76;-66
286077;695;-99;-42;237;-30;9
287076;-696;-1275;479;725;19;24
288088;-905;-328;603;405;20;9
289077;421;1228;113;-205;-5;-21
290077;1124;831;-179;-83;-7;9
291076;40;-878;233;603;31;55
292076;-1072;-1122;684;710;50;39
293075;-404;495;426;69;41;39
294076;945;1320;-128;-297;39;39
295075;745;-38;-95;191;54;70
296075;-704;-1367;470;756;71;70
297080;-1046;-512;629;420;64;55
298092;251;1091;109;-236;39;24
299075;1044;816;-219;-129;22;24
300075;31;-893;207;603;30;39
301080;-1127;-1229;730;801;32;24
302080;-536;342;522;160;32;39
303079;832;1258;-55;-251;39;39
304079;737;7;-73;191;55;70
305078;-651;-1321;467;756;56;39
306079;-1018;-512;650;466;17;-5
307078;272;1136;149;-205;-23;-36
308089;1104;892;-224;-175;-31;-21
309079;80;-878;144;527;-6;9
310078;-1165;-1321;672;771;-3;-21
311078;-619;281;507;160;-43;-66
312077;821;1304;-67;-281;-84;-97
313078;796;68;-103;160;-100;-97
314077;-645;-1382;465;786;-106;-112
315077;-1135;-679;705;542;-120;-128
316076;118;1014;214;-159;-129;-128
317077;1047;907;-193;-159;-113;-97
318076;116;-832;157;542;-59;-21
319092;-1143;-1336;678;771;-2;9
320075;-665;205;484;114;13;9
321076;762;1274;-145;-388;2;-5
322075;779;68;-221;38;0;9
323075;-687;-1473;340;664;24;39
324080;-1259;-832;590;435;41;39
325080;-2;938;100;-281;26;9
326079;1031;953;-345;-343;8;9
327075;154;-817;-36;343;23;39
328080;-1199;-1473;507;634;25;9
329093;-816;52;371;23;-12;-36
330076;648;1213;-233;-480;-46;-51
331077;758;83;-296;-22;-16;24
332077;-688;-1504;332;710;41;55
333078;-1325;-939;663;527;51;39
334078;-98;861;182;-220;25;9
335079;990;953;-291;-297;15;24
336078;151;-832;37;450;46;70
337080;-1249;-1565;645;801;57;39
338079;-911;-38;551;206;18;-5
339093;628;1274;-62;-327;-31;-51
340078;862;220;-189;38;-47;-36
341078;-580;-1443;359;710;-22;-5
342079;-1309;-970;665;542;3;9
343079;-113;877;188;-220;11;9
344080;1041;1045;-328;-373;17;24
345080;232;-771;-64;328;39;55
346075;-1231;-1596;534;710;49;39
347075;-939;-54;466;130;18;-5
348076;655;1350;-181;-495;-23;-36
349076;964;342;-397;-205;-16;9
350089;-497;-1412;124;496;24;39
351077;-1332;-1046;464;359;50;55
352077;-166;861;15;-388;56;55
353076;1083;1152;-486;-526;48;39
354076;360;-634;-200;206;39;39
355075;-1148;-1580;458;679;31;24
356076;-979;-145;447;114;9;-5
357075;585;1320;-185;-495;-22;-36
358076;977;403;-374;-159;-23;-5
359080;-453;-1397;209;618;31;70
360091;-1360;-1122;643;588;74;70
361075;-232;816;235;-190;50;24
362075;1095;1228;-323;-404;7;-5
363075;442;-557;-105;282;-1;9
364079;-1119;-1611;537;771;8;9
365080;-1020;-191;545;221;2;-5
366079;587;1381;-122;-480;-21;-36
367080;1071;526;-413;-251;-23;-5
368079;-370;-1367;88;481;1;9
369079;-1367;-1168;508;466;-3;-21
370089;-270;800;105;-327;-29;-36
371078;1138;1335;-482;-587;-38;-36
372078;539;-481;-282;114;-7;24
373077;-1099;-1657;375;618;34;39
374077;-1087;-267;393;69;42;39
375076;579;1457;-274;-633;25;9
376077;1196;694;-543;-358;15;24
377077;-253;-1321;12;435;31;39
378077;-1390;-1260;481;450;40;39
379076;-341;770;85;-358;40;39
380088;1171;1442;-535;-663;32;24
381076;661;-359;-383;-7;46;70
382077;-1046;-1687;258;511;93;116
383076;-1144;-344;308;8;111;100
384076;540;1472;-348;-724;79;55
385075;1250;785;-649;-480;52;55
386075;-177;-1275;-81;374;60;70
387075;-1395;-1321;450;450;48;24
388075;-392;739;82;-373;8;-5
389080;1212;1564;-563;-709;-31;-51
390092;804;-206;-401;8;-46;-36
391075;-931;-1626;303;588;-37;-36
392076;-1123;-359;381;69;-28;-21
393075;564;1549;-315;-724;-28;-36
394075;1371;953;-682;-541;-21;-5
395079;-40;-1183;-169;267;16;39
396080;-1370;-1367;355;374;34;24
397080;-431;724;-1;-465;10;-5
398075;1230;1625;-691;-877;-15;-21
399075;869;-145;-579;-175;-7;9
400245;-927;-1687;169;511;-1;-5
401079;-1218;-481;338;53;-5;-5
402079;480;1518;-354;-801;-21;-36
403080;1379;999;-773;-648;-37;-36
404079;-25;-1214;-227;267;-30;-21
405075;-1437;-1473;394;450;-28;-36
406080;-521;663;58;-434;-58;-82
407076;1258;1747;-704;-938;-99;-112
408076;1639;-8;-904;-281;-111;-82
409077;60;-1702;-304;405;-83;-51
410077;-1428;-573;290;-52;-52;-36
411095;-588;1533;-49;-923;-42;-82
412089;1231;1091;-803;-785;-72;-66
413078;1006;-1214;-740;191;-68;-36
414079;-950;-1672;92;511;-44;-66
415078;-1484;480;428;-281;-64;-97
416078;279;1732;-204;-801;-92;-82
417077;1474;68;-698;-205;-74;9
418077;168;-1809;-233;572;-3;9
419076;-1512;-847;443;176;7;-51
420076;-832;1426;169;-755;-49;-112
421075;1136;1365;-635;-724;-104;-82
422090;1241;-893;-667;252;-83;-21
423092;-659;-1733;156;649;-26;-5
424075;-1517;159;556;-129;-3;-5
425076;17;1762;-66;-785;-4;-5
426075;1495;571;-679;-327;1;55
427076;616;-1367;-338;496;50;85
428075;-1086;-863;378;313;85;85
429075;-803;1243;286;-556;84;55
430080;985;1487;-451;-678;59;55
431080;1334;-542;-613;145;61;116
432079;-341;-1534;71;618;103;85
433117;-1312;98;510;-98;90;55
434080;-12;1716;-55;-862;56;39
435080;1453;724;-755;-556;43;70
436080;735;-1244;-547;298;70;116
437075;-981;-1015;184;267;113;131
438075;-927;999;220;-587;124;70
439080;776;1549;-491;-846;72;9
440075;1378;-206;-773;-129;20;55
441079;-46;-1351;-189;405;51;116
442080;-1119;22;305;-114;111;131
443123;-53;1686;-85;-801;127;85
444075;1431;953;-697;-541;95;100
445079;937;-939;-520;298;97;116
446080;-695;-908;197;374;110;85
447080;-802;968;324;-373;87;55
448075;764;1610;-292;-678;51;9
449079;1434;7;-598;-22;13;9
450080;142;-1199;-63;603;2;-21
451079;-978;-69;498;176;-19;-36
452079;-121;1518;188;-572;-33;-21
453122;1277;938;-468;-434;-20;9
454079;904;-863;-411;313;7;24
455078;-636;-939;219;405;22;9
456078;-823;831;347;-327;12;9
457079;648;1564;-254;-678;8;9
458079;1373;7;-600;-98;13;39
459078;124;-1321;-135;496;31;9
460078;-1092;-298;394;99;13;-5
461077;-329;1396;104;-648;-9;-36
462078;1159;1029;-553;-587;-31;-21
463078;967;-802;-552;160;-17;39
464093;-589;-1138;77;374;29;24
465077;-996;541;306;-297;24;-21
466078;376;1442;-236;-739;-18;-51
467078;1240;52;-653;-236;-40;24
468079;147;-1351;-259;420;17;70
469079;-1119;-481;317;130;64;39
470079;-487;1258;119;-648;40;-21
471079;1024;1045;-548;-648;-16;-36
472075;966;-756;-601;130;-36;-21
473075;-555;-1229;54;466;-24;-21
474076;-1073;388;392;-129;-20;-21
475092;243;1442;-71;-572;-26;-66
476088;1230;190;-485;-114;-58;-51
477078;258;-1336;-124;588;-54;-36
478079;-1103;-679;493;435;-40;-51
479079;-664;1045;417;-266;-52;-82
480079;817;984;-176;-327;-82;-112
481078;882;-802;-274;389;-108;-97
482078;-612;-1428;324;771;-103;-112
483076;-1256;113;687;191;-109;-112
484076;-12;1304;237;-343;-113;-112
485075;1090;236;-259;-22;-109;-82
486076;278;-1351;-24;634;-86;-82
487090;-1118;-863;539;511;-80;-82
488079;-821;892;483;-205;-81;-82
489080;674;1029;-123;-358;-84;-97
490079;913;-649;-303;267;-95;-97
491079;-476;-1382;201;588;-98;-97
492078;-1200;52;510;38;-93;-66
493079;-52;1335;74;-510;-67;-36
494078;1113;373;-423;-190;-34;-5
495078;401;-1244;-193;466;-4;24
496077;-1013;-863;379;405;22;24
497092;-807;892;375;-251;24;9
498075;680;1136;-176;-419;9;-5
499076;1003;-542;-358;206;-2;9
500080;-382;-1428;156;649;4;-5
501075;-1241;-130;563;176;-4;-21
502079;-216;1228;214;-327;-19;-21
503079;1001;388;-242;-22;-16;24
504079;396;-1275;-15;664;19;39
505079;-1048;-1046;576;634;38;24
506078;-970;709;599;-37;26;9
507078;510;1136;37;-236;10;9
508088;987;-450;-175;359;14;55
509076;-309;-1473;311;801;48;55
510077;-1273;-283;716;343;58;55
511076;-353;1136;367;-251;53;39
512076;912;449;-161;-22;43;55
513075;434;-1244;-10;664;49;39
514075;-1022;-1168;582;725;38;9
515080;-1074;556;677;53;7;-36
516075;369;1121;125;-220;-34;-51
517080;959;-389;-155;313;-48;-21
518093;-262;-1504;270;771;-26;-21
519076;-1295;-405;682;343;-21;-36
520077;-456;1106;360;-281;-33;-36
521076;877;541;-189;-83;-37;-36
522076;513;-1153;-68;603;-36;-36
523075;-935;-1183;517;649;-34;-21
524075;-1077;510;601;-37;-21;-5
525080;333;1167;29;-358;-3;24
526075;1000;-252;-291;145;29;85
527075;-138;-1412;104;603;82;116
528092;-1200;-389;518;221;111;85
529076;-428;1152;235;-373;82;9
530077;928;709;-284;-190;16;-5
531077;665;-985;-168;511;-3;39
532078;-777;-1153;428;603;35;70
533078;-1033;480;553;-52;69;70
534079;316;1243;12;-373;70;55
535078;1062;-130;-298;176;63;100
536079;-24;-1351;140;725;91;85
537075;-1134;-389;632;359;86;55
538076;-413;1228;366;-312;55;24
539093;999;861;-226;-251;26;24
540077;807;-863;-223;405;20;9
541078;-658;-1138;321;511;7;-21
542077;-1004;495;451;-175;-17;-21
543078;334;1335;-113;-572;-23;-21
544078;1147;7;-493;-68;-21;-21
545079;101;-1290;-100;496;-21;-21
546078;-1074;-450;409;221;-21;-21
547079;-461;1167;224;-388;-21;-21
548077;941;892;-301;-297;-15;24
549092;823;-832;-262;405;26;85
550075;-627;-1153;331;618;77;70
551076;-1018;434;553;-7;68;9
552075;286;1350;52;-404;11;-36
553075;1154;68;-320;99;-28;9
554079;146;-1336;73;710;1;24
555080;-1108;-557;612;405;21;-5
556079;-557;1121;403;-297;-3;-36
557080;895;953;-206;-266;-29;-5
558079;870;-786;-235;389;-8;24
559092;-594;-1275;314;572;17;-5
560075;-1124;251;507;-68;-7;-66
561075;110;1243;-8;-465;-65;-112
562080;1038;22;-389;-7;-102;-51
563080;89;-1443;-28;588;-61;-36
564079;-1215;-771;493;313;-35;-36
565080;-757;923;297;-449;-36;-51
566079;697;831;-360;-510;-43;-5
567080;735;-924;-464;191;-9;24
568079;-729;-1458;118;496;22;24
569091;-1296;98;419;-114;25;9
570080;-33;1213;-62;-602;11;9
571080;1002;68;-516;-190;12;39
572079;128;-1428;-207;435;39;70
573080;-1192;-771;342;237;70;85
574079;-746;999;222;-449;83;70
575079;770;984;-355;-434;69;39
576078;882;-771;-389;298;41;24
577079;-579;-1367;226;603;20;-5
578078;-1195;190;528;-7;-4;-21
579089;63;1381;40;-526;-20;-21
580077;1160;251;-441;-159;-14;39
581078;298;-1367;-169;481;31;39
582077;-1127;-832;384;298;35;-21
583077;-798;938;277;-419;-19;-82
584076;712;1014;-331;-495;-79;-97
585076;896;-756;-444;191;-99;-97
586075;-571;-1473;121;511;-100;-112
587076;-1286;68;427;-129;-110;-112
588075;-52;1350;-80;-678;-115;-128
589092;1120;266;-587;-281;-122;-97
590076;308;-1382;-290;420;-98;-66
591075;-1138;-878;316;237;-69;-66
592075;-827;999;212;-541;-68;-97
593075;769;1182;-452;-678;-92;-97
594076;1055;-588;-623;8;-91;-36
595076;-407;-1397;-61;359;-43;-21
596076;-1200;113;273;-251;-19;-21
597076;1;1472;-208;-831;-21;-36
598077;1238;465;-739;-480;-30;-5
599077;487;-1290;-484;221;-13;-21
600088;-1043;-924;128;145;-23;-66
601077;-859;953;113;-572;-68;-128
602079;725;1228;-482;-694;-122;-128
603078;1081;-588;-627;53;-124;-66
604079;-408;-1504;-11;496;-70;-21
605079;-1295;-8;403;-98;-17;24
606075;-112;1457;-57;-724;21;24
607075;1213;510;-626;-388;27;24
608076;523;-1305;-387;359;24;24
609076;-1050;-985;255;267;26;39
610088;-907;968;234;-495;35;24
611077;742;1365;-408;-678;27;24
612076;1205;-450;-614;8;25;39
613075;-280;-1504;-55;435;35;24
614080;-1284;-84;346;-114;25;9
615079;-172;1487;-78;-724;8;-5
616080;1230;602;-625;-388;3;55
617075;602;-1290;-380;405;51;100
618075;-1031;-1061;306;405;94;70
619079;-973;907;353;-419;76;55
620089;681;1381;-326;-678;55;55
621079;1211;-420;-604;23;59;100
622078;-254;-1534;-35;542;94;100
623078;-1300;-84;442;8;103;100
624078;-173;1549;39;-663;99;85
625078;1287;694;-561;-388;89;100
626077;686;-1260;-377;389;99;116
627078;-999;-1107;283;343;112;100
628077;-1005;907;293;-510;104;100
629077;685;1503;-416;-770;100;100
630224;1318;-298;-694;-37;115;131
631079;-139;-1534;-97;511;127;131
632079;-1290;-145;409;-22;127;85
633079;-219;1594;1;-770;84;24
634078;1324;831;-659;-510;32;39
635078;810;-1168;-494;328;37;70
636078;-903;-1092;223;374;68;85
637078;-975;968;317;-465;81;55
638078;742;1625;-376;-801;58;39
639078;1428;-221;-718;-114;44;70
640077;-62;-1534;-166;481;64;70
641091;-1287;-191;370;-37;74;85
642075;-252;1640;-11;-770;85;100
643075;1361;938;-661;-526;105;146
644079;902;-1153;-504;328;143;162
645080;-888;-1214;224;405;154;100
646079;-1077;892;344;-434;105;55
647075;671;1716;-343;-770;51;9
648079;1499;-115;-687;-83;20;70
649080;32;-1596;-133;527;60;85
650079;-1325;-283;414;8;81;39
651092;-336;1655;25;-801;38;-36
652075;1365;1014;-686;-602;-28;-36
653075;1251;1014;-691;-602;-41;-36
654080;-73;-1153;-162;282;-37;-36
655075;-1320;-1321;384;420;-36;-36
656079;-372;785;30;-449;-36;-36
657075;1299;1701;-668;-846;-51;-66
658080;916;-130;-550;-144;-52;-36
659075;-950;-1748;223;588;-44;-51
660080;-1261;-496;423;145;-58;-66
661076;493;1564;-252;-694;-68;-66
662091;1444;1075;-680;-572;-45;-21
663075;23;-1199;-166;313;2;24
664076;-1483;-1580;445;511;-2;-36
665076;-634;556;141;-327;-51;-66
666077;1214;1778;-595;-831;-62;-51
667077;1102;144;-567;-190;-7;39
668078;-777;-1718;201;603;36;24
669077;-1419;-847;490;267;-9;-51
670078;157;1289;-177;-678;-84;-112
671078;1374;1243;-739;-709;-87;-51
672090;299;-847;-313;176;-6;39
673080;-1281;-1580;392;557;30;9
674075;-804;220;238;-190;-10;-36
675075;935;1610;-493;-785;-54;-66
676076;1121;373;-611;-327;-39;-5
677076;-505;-1443;54;466;9;24
678076;-1277;-878;406;252;13;-5
679079;58;1136;-150;-617;-35;-66
680079;1332;1350;-723;-755;-77;-82
681078;493;-573;-412;23;-47;-5
682093;-1095;-1519;277;496;-3;-5
683076;-871;22;251;-98;-10;-21
684076;779;1533;-422;-755;-44;-66
685075;1166;556;-621;-388;-54;-36
686076;-323;-1290;9;450;-37;-36
687076;-1265;-1031;493;450;-50;-66
688076;-158;877;86;-358;-75;-82
689075;1177;1335;-506;-602;-83;-82
690075;579;-389;-290;114;-60;-36
691080;-940;-1428;399;664;-27;-21
692091;-894;-130;449;130;-11;-5
693079;599;1350;-196;-541;-19;-36
694079;1092;617;-450;-266;-36;-36
695079;-202;-1122;90;496;-30;-21
696079;-1173;-1046;556;542;-20;-21
697078;-250;709;214;-190;-28;-36
698079;1049;1274;-363;-495;-36;-36
699078;613;-252;-235;114;-22;-5
700078;-814;-1336;378;634;-19;-36
701078;-864;-176;458;191;-51;-66
702088;562;1335;-147;-510;-84;-97
703077;1125;709;-477;-358;-84;-66
704077;-121;-1061;-13;389;-52;-36
705076;-1161;-1092;488;527;-41;-51
706076;-293;678;216;-175;-66;-82
707076;1097;1411;-366;-526;-98;-112
708076;779;-69;-288;38;-92;-66
709075;-698;-1305;336;634;-59;-51
710075;-897;-267;496;267;-49;-51
711080;505;1335;-66;-434;-66;-82
712092;1213;892;-435;-358;-75;-66
713076;64;-893;-31;359;-60;-51
714076;-1084;-1122;484;557;-43;-36
715076;-384;541;270;-98;-27;-21
716075;1008;1396;-323;-526;-5;9
717077;824;37;-326;-37;25;39
718076;-641;-1321;261;572;34;24
719076;-994;-450;500;343;10;-5
720075;349;1228;45;-297;-30;-51
721075;1192;968;-290;-220;-46;-36
722080;157;-802;130;542;-37;-36
723093;-1067;-1199;690;786;-28;-21
724077;-495;403;517;160;-13;-5
725078;945;1426;-68;-281;-12;-21
726078;918;190;-112;145;-13;-5
727080;-523;-1260;442;756;-6;-5
728079;-1021;-573;689;542;-5;-5
729080;232;1136;222;-144;-35;-66
730080;1192;1075;-206;-205;-68;-66
731075;294;-649;79;435;-46;-21
732075;-995;-1229;582;695;2;24
733088;-598;236;437;99;12;-5
734077;802;1335;-157;-404;-27;-51
735078;891;236;-272;-52;-39;-21
